Equipment ID;Date of Inspection;Pos;Component/Function;Inspection Type;Fieldworker Name;Notes
HCK_EQ001;01/01/2023;A;Safety devices against overpressure (safety valves);O;Bob;Calibration performed successfully
HCK_EQ001;01/01/2023;A;Safety devices against overpressure (safety valves);T;Bob;No issues found during inspection
HCK_EQ001;01/01/2023;B;Boiler level indicators;T;Diana;Minor corrosion detected on lower flange
HCK_EQ001;01/01/2023;C;Discharge devices, continuous and intermittent blowdown;T;Bob;Temperature sensor replaced
HCK_EQ001;01/01/2023;D;Valves;O;Charlie;Pressure valve replaced
HCK_EQ001;01/01/2023;D;Valves;T;Alice;No issues found during inspection
HCK_EQ001;01/01/2023;E;Feedwater regulation;O;Diana;Routine check with no anomalies
HCK_EQ001;01/01/2023;E;Feedwater regulation;T;Bob;No issues found during inspection
HCK_EQ001;01/01/2023;F;Low-level limiter;O;Diana;Minor corrosion detected on lower flange
HCK_EQ001;01/01/2023;F;Low-level limiter;T;Bob;Pressure valve replaced
HCK_EQ001;01/01/2023;G;Steam pressure and temperature;O;Charlie;Leak detected and sealed
HCK_EQ001;01/01/2023;H;Pressure limiter;O;Bob;Minor corrosion detected on lower flange
HCK_EQ001;01/01/2023;H;Pressure limiter;T;Bob;Pressure valve replaced
HCK_EQ001;01/01/2023;I;Temperature limiter;O;Bob;Pressure valve replaced
HCK_EQ001;01/01/2023;I;Temperature limiter;T;Bob;Water quality within acceptable range
HCK_EQ001;01/01/2023;J;Water quality devices;O;Diana;Routine check with no anomalies
HCK_EQ001;01/01/2023;J;Water quality devices;T;Diana;Water quality within acceptable range
HCK_EQ001;01/01/2023;K;Safety system;O;Alice;Calibration performed successfully
HCK_EQ001;01/01/2023;K;Safety system;T;Bob;Temperature sensor replaced
HCK_EQ001;01/01/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Alice;Feedwater pump maintenance completed
HCK_EQ001;01/01/2023;M;Steam pressure and temperature regulators;O;Diana;Feedwater pump maintenance completed
HCK_EQ001;01/01/2023;M;Steam pressure and temperature regulators;T;Diana;Temperature sensor replaced
HCK_EQ001;01/01/2023;N;Feedwater system;O;Alice;Safety valve adjusted
HCK_EQ001;01/01/2023;N;Feedwater system;T;Alice;Minor corrosion detected on lower flange
HCK_EQ001;01/01/2023;O;Feedwater and boiler water quality;T;Bob;Leak detected and sealed
HCK_EQ001;01/01/2023;P;Combustion system;O;Charlie;Pressure valve replaced
HCK_EQ001;01/01/2023;P;Combustion system;T;Alice;Water quality within acceptable range
HCK_EQ001;01/04/2023;A;Safety devices against overpressure (safety valves);O;Bob;Safety valve adjusted
HCK_EQ001;01/04/2023;D;Valves;O;Bob;Routine check with no anomalies
HCK_EQ001;01/04/2023;E;Feedwater regulation;O;Charlie;Temperature sensor replaced
HCK_EQ001;01/04/2023;F;Low-level limiter;O;Bob;Minor corrosion detected on lower flange
HCK_EQ001;01/04/2023;G;Steam pressure and temperature;O;Bob;Temperature sensor replaced
HCK_EQ001;01/04/2023;H;Pressure limiter;O;Charlie;Routine check with no anomalies
HCK_EQ001;01/04/2023;I;Temperature limiter;O;Charlie;Temperature sensor replaced
HCK_EQ001;01/04/2023;J;Water quality devices;O;Diana;Safety valve adjusted
HCK_EQ001;01/04/2023;K;Safety system;O;Charlie;Water quality within acceptable range
HCK_EQ001;01/04/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Diana;Calibration performed successfully
